node_id,x_coord,y_coord
203,-111.9450364,33.4307669
204,-111.9316393,33.40165
205,-111.9316478,33.4011412
206,-111.9222182,33.4504263
207,-111.8945641,33.3554939
208,-111.9083997,33.3440603
209,-111.9693934,33.338648
210,-111.9328846,33.3218194
211,-111.9366625,33.4219038
212,-111.9064815,33.3814768
213,-111.9349659,33.4219488
214,-111.9123461,33.4157894
215,-111.9289415,33.4220194
216,-111.9716062,33.3386362
217,-111.9177025,33.4220187
218,-111.9072885,33.4220009
219,-111.9054242,33.3865694
220,-111.9062477,33.4220216
221,-111.9286777,33.4512133
222,-111.9054664,33.422026
223,-111.9349094,33.4019151
224,-111.9080023,33.3370684
225,-111.8980581,33.4221093
226,-111.8961709,33.4220977
227,-111.8953441,33.4220871
228,-111.9160673,33.4034487
229,-111.9349089,33.3973027
230,-111.8919506,33.4218944
231,-111.9349086,33.3969626
232,-111.890304,33.4218897
233,-111.8878272,33.4220762
234,-111.8874179,33.4220888
235,-111.9587011,33.3199914
236,-111.9413716,33.3992725
237,-111.9349124,33.3961682
238,-111.9349144,33.3957526
239,-111.8809756,33.422114
240,-111.9228983,33.4238125
241,-111.9459193,33.3672352
242,-111.9463507,33.3672456
243,-111.9480306,33.3673479
244,-111.9073578,33.3550663
245,-111.9459212,33.3674991
246,-111.9349549,33.3911748
247,-111.9730742,33.3920859
248,-111.9072204,33.3555538
249,-111.9402195,33.3632036
250,-111.9350279,33.3879456
251,-111.9072891,33.3559553
252,-111.9402272,33.363696
253,-111.9369828,33.3637196
254,-111.971928,33.3781444
255,-111.9735301,33.3782068
256,-111.972052,33.3782892
257,-111.9719274,33.3782908
258,-111.9073612,33.3475306
259,-111.89466,33.3754707
260,-111.9077612,33.3510658
261,-111.9095684,33.4403961
262,-111.909471,33.4440155
263,-111.9093347,33.4498576
264,-111.9073586,33.3291796
265,-111.9065602,33.4035428
266,-111.9334901,33.3447613
267,-111.937678,33.3637065
268,-111.9366203,33.3637202
269,-111.9060258,33.4019796
270,-111.9357315,33.3637227
271,-111.9338053,33.3637356
272,-111.9333762,33.3637354
273,-111.9367743,33.3721671
274,-111.9351864,33.3812698
275,-111.9378029,33.3709955
276,-111.9054113,33.3952408
277,-111.9307669,33.3637435
278,-111.8937594,33.3324237
279,-111.9344743,33.3953745
280,-111.9285986,33.3637491
281,-111.906226,33.4274144
282,-111.9352604,33.3782292
